condition,block,trial,window,executed_scored_ticks,terminated,aggregate,input_gain,dynamic_nodes,excitatory_nodes,inhibitory_nodes,recurrent_edges,input_edges,output_edges,internal_states,integration_updates_per_frame,seed_ledger_agents,topology_seed,world_seed,initial_state,score_key,raw_score,normalized_score,normalized_bound,normalization_status,anchor_scored_ticks,viable,liveness,profile_metric,profile_value,profile_label,profile_unit,profile_direction
example_wall,1,1,200,200,false,mean,1.0,24,nothing,nothing,nothing,nothing,nothing,nothing,nothing,1,12630397287789020879,4387990057960926623,nothing,nav_score,0.3723292918160655,0.0,floor,available,200,,true,,,,,
example_wall,2,1,200,200,false,mean,1.0,24,nothing,nothing,nothing,nothing,nothing,nothing,nothing,1,4295349147392259026,13428650614681696593,nothing,nav_score,0.3499999999999999,0.0,floor,available,200,,true,,,,,
